"","group","Nspp","Supporting_edge_length","Nearest_neighbour_node_distance","Descendent_edge_length"
"1639","Tachyoryctes ankoliae|Tachyoryctes annectens|Tachyoryctes audax|Tachyoryctes daemon|Tachyoryctes macrocephalus|Tachyoryctes naivashae|Tachyoryctes rex|Tachyoryctes ruandae|Tachyoryctes ruddi|Tachyoryctes spalacinus|Tachyoryctes splendens",11,0.000296890957888987,0.0089067287366696,0.255029332826639
"1640","Tachyoryctes ankoliae",1,0.0231574947153409,0.0463149894306819,0
"1641","Tachyoryctes annectens",1,0.0231574947153409,0.0463149894306819,0
"1642","Tachyoryctes audax",1,0.0231574947153409,0.0463149894306819,0
"1643","Tachyoryctes daemon",1,0.0231574947153409,0.0463149894306819,0
"1644","Tachyoryctes macrocephalus",1,0.0231574947153409,0.0463149894306819,0
"1645","Tachyoryctes naivashae",1,0.0231574947153409,0.0463149894306819,0
"1646","Tachyoryctes rex",1,0.0231574947153409,0.0463149894306819,0
"1647","Tachyoryctes ruandae",1,0.0231574947153409,0.0463149894306819,0
"1648","Tachyoryctes ruddi",1,0.0231574947153409,0.0463149894306819,0
"1649","Tachyoryctes spalacinus",1,0.0231574947153409,0.0463149894306819,0
"1650","Tachyoryctes splendens",1,0.0231574947153409,0.0463149894306819,0
"1651","Delanymys brooksi|Petromyscus barbouri|Petromyscus collinus|Petromyscus monticularis|Petromyscus shortridgei",5,0.0513621357147947,0.0804574495879154,0.153344179749662
"1652","Delanymys brooksi",1,0.0227121582785075,0.0265717407310643,0
"1653","Petromyscus barbouri|Petromyscus collinus|Petromyscus monticularis|Petromyscus shortridgei",4,0.00385958245255682,0.0265717407310643,0.0792698857563594
"1654","Petromyscus barbouri",1,0.0188525758259506,0.0377051516519013,0
"1655","Petromyscus collinus",1,0.0188525758259506,0.0377051516519013,0
"1656","Petromyscus monticularis",1,0.0188525758259506,0.0377051516519013,0
"1657","Petromyscus shortridgei",1,0.0188525758259506,0.0377051516519013,0
"1658","Dendromus insignis|Dendromus kahuziensis|Dendromus kivu|Dendromus lovati|Dendromus melanotis|Dendromus mesomelas|Dendromus messorius|Dendromus mystacalis|Dendromus nyikae|Dendromus oreas|Dendromus vernayi",11,0.0403771702729022,0.0694724841460228,0.411045531197302
"1659","Dendromus insignis",1,0.0336971237204,0.0673942474407999,0
"1660","Dendromus kahuziensis",1,0.0336971237204,0.0673942474407999,0
"1661","Dendromus kivu",1,0.0336971237204,0.0673942474407999,0
"1662","Dendromus lovati",1,0.0336971237204,0.0673942474407999,0
"1663","Dendromus melanotis",1,0.0336971237204,0.0673942474407999,0
"1664","Dendromus mesomelas",1,0.0336971237204,0.0673942474407999,0
"1665","Dendromus messorius",1,0.0336971237204,0.0673942474407999,0
"1666","Dendromus mystacalis",1,0.0336971237204,0.0673942474407999,0
"1667","Dendromus nyikae",1,0.0336971237204,0.0673942474407999,0
"1668","Dendromus oreas",1,0.0336971237204,0.0673942474407999,0
"1669","Dendromus vernayi",1,0.0336971237204,0.0673942474407999,0
"1670","Dendroprionomys rousseloti",1,0.0740742939933021,0.103169607866423,0
"1671","Deomys ferrugineus",1,0.0740742939933021,0.103169607866423,0
"1672","Leimacomys buettneri|Steatomys caurinus|Steatomys cuppedius|Steatomys jacksoni|Steatomys krebsii|Steatomys parvus|Steatomys pratensis",7,0.0467603258675154,0.0758556397406361,0.223113554853573
"1673","Leimacomys buettneri",1,0.0273139681257868,0.0302828777046766,0
"1674","Steatomys caurinus|Steatomys cuppedius|Steatomys jacksoni|Steatomys krebsii|Steatomys parvus|Steatomys pratensis",6,0.00296890957888987,0.0302828777046766,0.149039260860271
"1675","Steatomys caurinus",1,0.0243450585468969,0.0486901170937938,0
"1676","Steatomys cuppedius",1,0.0243450585468969,0.0486901170937938,0
"1677","Steatomys jacksoni",1,0.0243450585468969,0.0486901170937938,0
"1678","Steatomys krebsii",1,0.0243450585468969,0.0486901170937938,0
"1679","Steatomys parvus",1,0.0243450585468969,0.0486901170937938,0
"1680","Steatomys pratensis",1,0.0243450585468969,0.0486901170937938,0
"1681","Lophiomys imhausi",1,0.0740742939933021,0.103169607866423,0
