"Status","Order","Family","Genus","Binomial","Log_mass","Combined_mass","Ancestral.mass","Mass.change"
"extant","Rodentia","Muridae","Ochrotomys","Ochrotomys nuttalli",1.35,22.4,2.788125,1.438125
"extant","Rodentia","Muridae","Oligoryzomys","Oligoryzomys microtis",1.35,22.5,2.788125,1.438125
"extant","Artiodactyla","Bovidae","Neotragus","Neotragus moschatus",3.81,6499.9,5.24904761904762,1.43904761904762
"extant","Primates","Megaladapidae","Lepilemur","Lepilemur mustelinus",2.89,773,4.338,1.448
"extant","Primates","Cebidae","Saimiri","Saimiri vanzolinii",2.89,769.6,4.338,1.448
"extant","Rodentia","Muridae","Acomys","Acomys kempi",1.34,22,2.788125,1.448125
"extant","Rodentia","Muridae","Acomys","Acomys percivali",1.34,22,2.788125,1.448125
"extant","Rodentia","Muridae","Pseudohydromys","Pseudohydromys occidentalis",1.34,21.9,2.788125,1.448125
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus californicus",1.34,22,2.788125,1.448125
"extant","Rodentia","Heteromyidae","Perognathus","Perognathus parvus",1.34,21.8,2.788125,1.448125
"extant","Rodentia","Muridae","Arborimus","Arborimus longicaudus",1.34,21.8,2.788125,1.448125
"extant","Rodentia","Muridae","Peromyscus","Peromyscus eva",1.34,22,2.788125,1.448125
"extant","Rodentia","Muridae","Akodon","Akodon albiventer",1.34,21.8,2.788125,1.448125
"extant","Artiodactyla","Bovidae","Cephalophus","Cephalophus monticola",3.8,6250,5.24904761904762,1.44904761904762
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger carmelitae",3.31,2047.5,4.76243902439024,1.45243902439024
"extant","Carnivora","Viverridae","Genetta","Genetta thierryi",3.15,1400,4.60282608695652,1.45282608695652
"extant","Carnivora","Mustelidae","Amblonyx","Amblonyx cinereus",3.15,1747.6,4.60282608695652,1.45282608695652
"extant","Carnivora","Herpestidae","Galidictis","Galidictis grandidieri",3.15,1400,4.60282608695652,1.45282608695652
"extant","Primates","Galagonidae","Otolemur","Otolemur garnettii",2.88,760,4.338,1.458
"extant","Primates","Megaladapidae","Lepilemur","Lepilemur septentrionalis",2.88,750,4.338,1.458
"extant","Rodentia","Muridae","Apodemus","Apodemus agrarius",1.33,21.5,2.788125,1.458125
"extant","Rodentia","Muridae","Chiropodomys","Chiropodomys gliroides",1.33,21.5,2.788125,1.458125
"extant","Rodentia","Muridae","Clethrionomys","Clethrionomys glareolus",1.33,21.2,2.788125,1.458125
"extant","Rodentia","Muridae","Apomys","Apomys musculus",1.33,21.2,2.788125,1.458125
"extant","Rodentia","Muridae","Peromyscus","Peromyscus boylii",1.33,21.4,2.788125,1.458125
"extant","Rodentia","Muridae","Peromyscus","Peromyscus leucopus",1.33,21.2,2.788125,1.458125
"extant","Rodentia","Muridae","Peromyscus","Peromyscus maniculatus",1.33,21.3,2.788125,1.458125
"extant","Rodentia","Muridae","Synaptomys","Synaptomys borealis",1.33,21.3,2.788125,1.458125
"extant","Rodentia","Muridae","Akodon","Akodon xanthorhinus",1.33,21.3,2.788125,1.458125
