"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Rhinolophus sedulus","Rhinolophus sedulus",2322,5551,8.8,9.15,0.35,3.4,0.102941176470588
"Pteronotus quadridens","Pteronotus quadridens",2390,5873,5.2,6.95,1.75,17,0.102941176470588
"Pteronotus personatus","Pteronotus personatus",2389,5873,8.7,6.95,-1.75,17,0.102941176470588
"Rhinolophus simulator","Rhinolophus simulator",2325,5567,8.1,8.45,0.350000000000001,3.4,0.102941176470589
"Sorex samniticus|Sorex arcticus|Sorex coronatus|Sorex araneus|Sorex granarius|Sorex isodon|Sorex caecutiens|Sorex minutissimus|Sorex minutus|Sorex preblei|Sorex tenellus|Sorex monticolus|Sorex vagrans|Sorex pacificus|Sorex nanus|Sorex dispar|Sorex fumeus|Sorex longirostris|Sorex cinereus|Sorex ornatus|Sorex hoyi|Sorex bairdii|Sorex palustris|Sorex bendirii","Sorex",6095,6094,6.1501002828644,5.46768982175377,-0.682410461110626,6.6,0.103395524410701
"Aethomys chrysophilus","Aethomys chrysophilus",38,3919,72.4,70.24,-2.16,20.8,0.103846153846154
"Barbastella barbastellus|Barbastella leucomelas","Barbastella",5820,5819,11.55,10.7593788016611,-0.790621198338904,7.6,0.104029105044593
"Gerbillus gerbillus","Gerbillus gerbillus",737,3302,25,27.6,2.6,24.9,0.104417670682731
"Hipposideros pygmaeus","Hipposideros pygmaeus",2352,5607,3.5,6,2.5,23.9,0.104602510460251
"Hipposideros fulvus","Hipposideros fulvus",2345,5607,8.5,6,-2.5,23.9,0.104602510460251
"Lionycteris spurrelli","Lionycteris spurrelli",2425,5910,8.4,9.6453488372093,1.2453488372093,11.9,0.104651162790698
"Microgale thomasi","Microgale thomasi",2959,6194,22.9,21.2833333333333,-1.61666666666667,15.2,0.106359649122807
"Surdisorex norae|Surdisorex polulus","Surdisorex",6090,6032,9,10.3821474868977,1.3821474868977,12.8,0.107980272413883
"Peromyscus simulus","Peromyscus simulus",596,3620,40,41.325,1.325,12.2,0.108606557377049
"Hipposideros calcaratus","Hipposideros calcaratus",2356,5610,11.4,8.8,-2.6,23.9,0.108786610878661
"Hipposideros pomona","Hipposideros pomona",2351,5610,6.2,8.8,2.6,23.9,0.108786610878661
"Tonatia schulzi","Tonatia schulzi",2415,5900,18.2,19.55,1.35,12.4,0.108870967741935
"Tonatia carrikeri","Tonatia carrikeri",2413,5900,20.9,19.55,-1.35,12.4,0.108870967741936
"Graphiurus murinus|Graphiurus parvus|Graphiurus platyops|Graphiurus ocularis","Graphiurus",4524,4523,36.4,33.6488027366021,-2.75119726339795,25.2,0.109174494579284
"Oryzomys ratticeps|Oryzomys polius|Oryzomys balneator|Oryzomys intectus|Oryzomys couesi|Oryzomys alfaroi|Oryzomys hammondi|Oryzomys palustris|Oryzomys nitidus|Oryzomys keaysi|Oryzomys yunganus|Oryzomys kelloggi|Oryzomys intermedius|Oryzomys melanotis|Oryzomys xantheolus|Oryzomys buccinatus|Oryzomys chapmani|Oryzomys oniscus|Oryzomys macconnelli|Oryzomys albigularis|Oryzomys levipes|Oryzomys auriventer|Oryzomys legatus|Oryzomys capito|Oryzomys gorgasi|Oryzomys talamancae|Oryzomys subflavus|Oryzomys bolivaris|Oryzomys lamia","Oryzomys",3390,3363,62.8758620689655,63.9586474386806,1.08278536971509,9.9,0.109372259567181
"Glossophaga leachii|Glossophaga morenoi|Glossophaga longirostris|Glossophaga soricina|Glossophaga commissarisi","Glossophaga",5918,5916,9.89736842105263,10.720504044804,0.823135623751352,7.5,0.10975141650018
"Hipposideros turpis","Hipposideros turpis",2367,5595,33.4,35.4333333333333,2.03333333333334,18.5,0.10990990990991
"Euderma maculatum","Euderma maculatum",2638,5822,15.7,13.85,-1.85,16.8,0.110119047619048
"Idionycteris phyllotis","Idionycteris phyllotis",2639,5822,12,13.85,1.85,16.8,0.110119047619048
"Reithrodontomys raviventris","Reithrodontomys raviventris",623,3662,11,12.3,1.3,11.8,0.110169491525424
"Sorex merriami","Sorex merriami",2876,6119,5.9,4.85,-1.05,9.5,0.110526315789474
"Sorex trowbridgii","Sorex trowbridgii",2874,6119,3.8,4.85,1.05,9.5,0.110526315789474
"Lasiurus seminolus","Lasiurus seminolus",2618,5786,9.9,10.3,0.399999999999999,3.6,0.111111111111111
"Crocidura leucodon","Crocidura leucodon",2795,6057,9.8,8.4,-1.4,12.6,0.111111111111111
"Crocidura religiosa","Crocidura religiosa",2814,6057,7,8.4,1.4,12.6,0.111111111111111
"Lasiurus borealis","Lasiurus borealis",2617,5786,10.7,10.3,-0.4,3.6,0.111111111111111
"Myotis montivagus","Myotis montivagus",2704,5736,8.3,6.86666666666667,-1.43333333333333,12.9,0.111111111111111
"Diphylla ecaudata","Diphylla ecaudata",2391,5875,29.3,32.3809771309771,3.08097713097714,27.7,0.111226611226611
"Nycticeius humeralis","Nycticeius humeralis",2562,5799,9,12.1,3.1,27.8,0.111510791366906
"Pipistrellus stenopterus","Pipistrellus stenopterus",2576,5799,15.2,12.1,-3.1,27.8,0.111510791366906
"Taphozous hildegardeae","Taphozous hildegardeae",2246,5492,29.6,26.7280269058296,-2.8719730941704,25.6,0.112186448991031
"Taterillus emini","Taterillus emini",757,3276,52,53.7333333333333,1.73333333333333,15.4,0.112554112554112
"Microtus arvalis|Microtus rossiaemeridionalis|Microtus guentheri|Microtus socialis","Microtus",4001,3991,39.3079896907217,39.7035631689065,0.395573478184851,3.5,0.1130209937671
"Pipistrellus ceylonicus","Pipistrellus ceylonicus",2654,5835,8.4,6.46241007194245,-1.93758992805755,17.1,0.113309352517986
"Nyctophilus gouldi","Nyctophilus gouldi",2632,5752,10,10.85,0.85,7.5,0.113333333333333
"Nyctophilus timoriensis","Nyctophilus timoriensis",2634,5752,11.7,10.85,-0.85,7.5,0.113333333333333
"Cercartetus concinnus","Cercartetus concinnus",3034,6278,13,14.6666666666667,1.66666666666667,14.7,0.113378684807256
"Lonchorhina aurita","Lonchorhina aurita",2395,5880,15.7,13.8333333333333,-1.86666666666667,16.4,0.113821138211382
"Micronycteris megalotis|Micronycteris minuta|Micronycteris schmidtorum|Micronycteris hirsuta","Micronycteris",5886,5885,8.52362637362637,10.1304312839354,1.60680491030899,13.9,0.115597475561798
"Chaerephon major","Chaerephon major",2538,5652,14.8,17.2833333333333,2.48333333333333,21.4,0.116043613707165
"Otopteropus cartilagonodus","Otopteropus cartilagonodus",2121,5378,16.8,17.4,0.599999999999998,5.1,0.117647058823529
"Haplonycteris fischeri","Haplonycteris fischeri",2122,5378,18,17.4,-0.600000000000001,5.1,0.11764705882353
"Anourosorex squamipes","Anourosorex squamipes",2892,6134,20,15.8792452830189,-4.12075471698113,35,0.117735849056604
"Reithrodontomys microdon","Reithrodontomys microdon",614,3656,20,20.9333333333333,0.93333333333333,7.9,0.118143459915611
"Reithrodontomys megalotis|Reithrodontomys raviventris|Reithrodontomys humulis|Reithrodontomys montanus|Reithrodontomys sumichrasti|Reithrodontomys burti|Reithrodontomys chrysopsis","Reithrodontomys",3660,3658,13.9428571428571,14.477344573235,0.534487430377842,4.5,0.118774984528409
"Hipposideros lylei","Hipposideros lylei",2368,5597,40,42.2286738847088,2.22867388470878,18.5,0.120468858632907
"Emballonura alecto|Emballonura monticola","Emballonura",5501,5499,5.35,8,2.65,21.9,0.121004566210046
"Coleura afra|Coleura seychellensis","Coleura",5500,5499,10.65,8,-2.65,21.9,0.121004566210046
"Taphozous hilli|Taphozous georgianus|Taphozous kapalgensis|Taphozous australis","Taphozous",5487,5486,24.4013729977117,25.9281602546764,1.52678725696475,12.6,0.121173591822599
"Suncus remyi|Suncus murinus|Suncus infinitesimus|Suncus madagascariensis|Suncus lixus|Suncus etruscus|Suncus malayanus|Suncus varilla","Suncus",6025,6024,11.5525,10.6552858970115,-0.897214102988517,7.4,0.121245149052502
"Taphozous hilli","Taphozous hilli",2242,5487,22,24.4013729977117,2.40137299771168,19.8,0.121281464530893
"Otomops martiensseni","Otomops martiensseni",2522,5637,34.3,28.7984309812528,-5.50156901874724,45,0.122257089305494
"Sminthopsis archeri|Sminthopsis gilberti|Sminthopsis murina|Sminthopsis dolichura|Sminthopsis leucopus","Sminthopsis",6380,6379,18.141592920354,17.7989919506552,-0.342600969698811,2.8,0.122357489178147
"Gerbillus dasyurus","Gerbillus dasyurus",736,3309,23.5,20.45,-3.05,24.9,0.122489959839357
"Gerbillus simoni","Gerbillus simoni",745,3309,17.4,20.45,3.05,24.9,0.122489959839357
"Elephantulus revoili|Elephantulus rufescens|Elephantulus intufi|Elephantulus rupestris|Elephantulus brachyrhynchus|Elephantulus fuscipes","Elephantulus",6212,6211,48.6510869565217,49.2517873787413,0.600700422219582,4.9,0.122591922901955
"Crocidura fumosa","Crocidura fumosa",2787,6045,14.5,16.05,1.55,12.6,0.123015873015873
"Crocidura theresae","Crocidura theresae",2820,6045,17.6,16.05,-1.55,12.6,0.123015873015873
"Praomys morio","Praomys morio",239,3932,30,31.85,1.85,15,0.123333333333333
"Praomys tullbergi","Praomys tullbergi",240,3932,33.7,31.85,-1.85,15,0.123333333333333
"Mormopterus planiceps","Mormopterus planiceps",2510,5664,8.8,10.5666666666667,1.76666666666667,14.3,0.123543123543123
"Brachyphylla cavernarum|Brachyphylla nana|Erophylla sezekorni|Lionycteris spurrelli|Lonchophylla robusta|Lonchophylla thomasi|Lonchophylla mordax|Leptonycteris curasoae|Leptonycteris nivalis|Monophyllus plethodon|Monophyllus redmani|Glossophaga leachii|Glossophaga morenoi|Glossophaga longirostris|Glossophaga soricina|Glossophaga commissarisi|Anoura geoffroyi|Anoura latidens|Anoura cultrata|Hylonycteris underwoodi|Lichonycteris obscura|Choeronycteris mexicana|Choeroniscus godmani|Choeroniscus intermedius|Choeroniscus minor","Phyllostomidae",5906,5905,17.187279860633,17.8082950503452,0.6210151897122,5,0.12420303794244
"Glossophaga commissarisi","Glossophaga commissarisi",2433,5918,8.9,9.89736842105263,0.997368421052631,8,0.124671052631579
"Suncus malayanus","Suncus malayanus",2841,6031,5,3.55,-1.45,11.5,0.126086956521739
"Suncus etruscus","Suncus etruscus",2837,6031,2.1,3.55,1.45,11.5,0.126086956521739
"Oryzomys keaysi","Oryzomys keaysi",467,3401,58.3,59.4,1.09999999999999,8.6,0.127906976744185
"Oryzomys yunganus","Oryzomys yunganus",482,3401,60.5,59.4,-1.10000000000001,8.6,0.127906976744187
"Chaetodipus intermedius|Chaetodipus lineatus|Chaetodipus nelsoni|Chaetodipus penicillatus|Chaetodipus goldmani","Chaetodipus",4071,4070,18.6468899521531,18.1199566160521,-0.526933336101045,4.1,0.128520325878304
"Monophyllus plethodon|Monophyllus redmani","Monophyllus",5917,5916,11.75,10.720504044804,-1.02949595519602,8,0.128686994399502
"Glossophaga leachii","Glossophaga leachii",2435,5921,10.1,9.25,-0.85,6.6,0.128787878787879
"Glossophaga morenoi","Glossophaga morenoi",2437,5921,8.4,9.25,0.85,6.6,0.128787878787879
"Chaerephon russata","Chaerephon russata",2542,5655,16.5,19.2666666666667,2.76666666666667,21.4,0.129283489096573
"Elephantulus edwardii|Elephantulus myurus","Elephantulus",6217,6211,50.2,49.2517873787413,-0.948212621258676,7.3,0.129892139898449
"Dendromus melanotis","Dendromus melanotis",789,3942,9.1,12.05,2.95,22.7,0.129955947136564
"Dendromus nyikae","Dendromus nyikae",792,3942,15,12.05,-2.95,22.7,0.129955947136564
"Myoxus glis|Graphiurus murinus|Graphiurus parvus|Graphiurus platyops|Graphiurus ocularis|Graphiurus hueti","Failed taxon resolution",4522,4518,64.3515967285684,63.6088594691819,-0.742737259386487,5.7,0.130304782348507
"Crocidura jacksoni","Crocidura jacksoni",2794,6052,7,8.65,1.65,12.6,0.130952380952381
"Crocidura mariquensis","Crocidura mariquensis",2801,6052,10.3,8.65,-1.65,12.6,0.130952380952381
"Myotis siligorensis","Myotis siligorensis",2732,5712,3,4.65385109114249,1.65385109114249,12.6,0.131258023106547
"Planigale maculata","Planigale maculata",3153,6391,11,9.26173615077099,-1.73826384922901,13.2,0.131686655244622
"Eptesicus rendalli","Eptesicus rendalli",2620,5779,6.3,7.36666666666667,1.06666666666667,8.1,0.131687242798354
"Napaeozapus insignis","Napaeozapus insignis",18,3264,22.3,23.8562992125984,1.55629921259843,11.8,0.131889763779528
"Eptesicus bottae","Eptesicus bottae",2669,5772,14.2,15.35,1.15,8.7,0.132183908045977
"Macrophyllum macrophyllum","Macrophyllum macrophyllum",2394,5879,8.1,11.691063174114,3.59106317411402,27.1,0.13251155624037
"Myotis velifer","Myotis velifer",2706,5744,10.1,8.38413461538461,-1.71586538461539,12.9,0.133012820512821
"Rhynchonycteris naso","Rhynchonycteris naso",2260,5504,4.2,9.0390672656091,4.8390672656091,36.3,0.13330763817105
"Praomys delectorum","Praomys delectorum",237,3933,36,38,2,15,0.133333333333333
"Praomys jacksoni","Praomys jacksoni",238,3933,40,38,-2,15,0.133333333333333
"Notiosorex crawfordi|Megasorex gigas","Soricinae",6135,6134,12.2,15.8792452830189,3.67924528301887,27.5,0.133790737564322
"Sminthopsis hirtipes|Sminthopsis ooldea|Sminthopsis youngsoni|Sminthopsis psammophila","Sminthopsis",6384,6379,17.4909927942354,17.7989919506552,0.307999156419783,2.3,0.133912676704253
"Sorex fumeus","Sorex fumeus",2861,6114,7.7,5.65,-2.05,15.3,0.133986928104575
"Sorex longirostris","Sorex longirostris",2863,6114,3.6,5.65,2.05,15.3,0.133986928104575
"Kerivoula phalaena","Kerivoula phalaena",2694,5863,3,4.1,1.1,8.2,0.134146341463415
"Kerivoula muscina","Kerivoula muscina",2691,5863,5.2,4.1,-1.1,8.2,0.134146341463415
"Marmosops dorothea","Marmosops dorothea",3198,6440,37.5,40.04,2.54,18.9,0.134391534391534
"Rhinolophus pusillus","Rhinolophus pusillus",2292,5536,5.2,7.96858369876397,2.76858369876397,20.5,0.13505286335434
"Myotis frater","Myotis frater",2738,5710,7.6,6.02548476454294,-1.57451523545706,11.6,0.135734072022161
"Sigmodon inopinatus","Sigmodon inopinatus",541,3579,140.5,139.677777777778,-0.822222222222223,6,0.137037037037037
"Taphozous nudiventris","Taphozous nudiventris",2240,5484,34.1,29.4729173902878,-4.62708260971222,33.6,0.137710791955721
"Taphozous longimanus|Taphozous melanopogon|Taphozous philippinensis|Taphozous mauritianus|Taphozous hildegardeae|Taphozous perforatus","Taphozous",5490,5486,26.8700092421442,25.9281602546764,-0.941848987467758,6.8,0.138507204039376
"Aselliscus tricuspidatus","Aselliscus tricuspidatus",2339,5581,4.1,9.85146830038831,5.75146830038831,41.5,0.138589597599718
"Eligmodontia moreni","Eligmodontia moreni",398,3441,18,17.25,-0.75,5.4,0.138888888888889
"Eligmodontia morgani","Eligmodontia morgani",399,3441,16.5,17.25,0.75,5.4,0.138888888888889
"Crocidura fulvastra","Crocidura fulvastra",2786,6087,10,8.25,-1.75,12.6,0.138888888888889
"Crocidura nanilla","Crocidura nanilla",2805,6087,6.5,8.25,1.75,12.6,0.138888888888889
"Rhinophylla pumilio","Rhinophylla pumilio",2447,5931,9.6,12.9043936731107,3.30439367311072,23.7,0.139425893380199
"Saccopteryx bilineata|Saccopteryx leptura","Saccopteryx",5514,5513,6.5,5.18430232558139,-1.31569767441861,9.4,0.139967837704107
"Allactaga elater","Allactaga elater",11,3259,59,55.5,-3.5,25,0.14
"Allactaga tetradactyla","Allactaga tetradactyla",12,3259,52,55.5,3.5,25,0.14
"Pipistrellus imbricatus","Pipistrellus imbricatus",2583,5760,5.7,4.43529411764706,-1.26470588235294,9,0.140522875816993
"Otopteropus cartilagonodus|Haplonycteris fischeri","Pteropodinae",5378,5377,17.4,16.9044368600683,-0.49556313993174,3.5,0.141589468551926
"Blarinella quadraticauda","Blarinella quadraticauda",2877,6093,12.5,7.29112177410854,-5.20887822589146,36.4,0.143101050161853
"Peromyscus californicus","Peromyscus californicus",569,3617,43.5,41.75,-1.75,12.2,0.14344262295082
"Peromyscus zarhynchus","Peromyscus zarhynchus",603,3617,40,41.75,1.75,12.2,0.14344262295082
"Neomys anomalus|Neomys fodiens","Neomys",6142,6140,15.15,12.0933962264151,-3.05660377358491,21.2,0.144179423282307
"Lichonycteris obscura","Lichonycteris obscura",2442,5926,5.6,6.15,0.55,3.8,0.144736842105263
"Hylonycteris underwoodi","Hylonycteris underwoodi",2441,5926,6.7,6.15,-0.550000000000001,3.8,0.144736842105263
"Peromyscus melanophrys","Peromyscus melanophrys",586,3621,40,41.7666666666667,1.76666666666667,12.2,0.144808743169399
"Micronycteris nicefori|Micronycteris daviesi|Micronycteris sylvestris","Micronycteris",5889,5885,11.5662921348315,10.1304312839354,-1.43586085089609,9.9,0.145036449585464
"Tamias amoenus|Tamias quadrimaculatus|Tamias durangae|Tamias canipes|Tamias bulleri|Tamias rufus|Tamias quadrivittatus|Tamias dorsalis|Tamias cinereicollis|Tamias palmeri|Tamias umbrinus|Tamias townsendii|Tamias senex|Tamias sonomae|Tamias siskiyou","Tamias",4390,4389,74.056289475253,74.0272513548872,-0.0290381203658114,0.2,0.145190601829057
"Oryzomys macconnelli","Oryzomys macconnelli",472,3410,58,59.25,1.25,8.6,0.145348837209302
"Oryzomys oniscus","Oryzomys oniscus",475,3410,60.5,59.25,-1.25,8.6,0.145348837209302
"Hipposideros ater|Cloeotis percivali|Aselliscus stoliczkanus|Hipposideros ruber|Hipposideros speoris|Hipposideros beatus|Hipposideros cineraceus|Hipposideros lankadiva|Hipposideros lekaguli|Hipposideros armiger|Hipposideros larvatus|Hipposideros turpis|Hipposideros lylei|Asellia tridens|Hipposideros cyclops|Hipposideros semoni|Hipposideros stenotis|Hipposideros wollastoni|Hipposideros corynophyllus|Hipposideros commersoni|Hipposideros diadema|Hipposideros cervinus|Hipposideros obscurus|Hipposideros fulvus|Hipposideros pygmaeus|Hipposideros sabanus|Hipposideros pomona|Hipposideros calcaratus|Hipposideros bicolor|Hipposideros galeritus|Hipposideros jonesi|Hipposideros maggietaylorae|Hipposideros caffer|Hipposideros ridleyi|Hipposideros halophyllus","Hipposiderinae",5582,5581,12.431985726953,9.85146830038831,-2.58051742656465,17.6,0.146620308327537
"Balantiopteryx io|Balantiopteryx plicata|Peropteryx kappleri|Peropteryx macrotis","Emballonurinae",5510,5509,6.32800218340611,7.27038877629864,0.942386592892528,6.4,0.147247905139457
"Myotis yumanensis","Myotis yumanensis",2708,5747,5.4,7.31111111111111,1.91111111111111,12.9,0.148148148148148
"Sorex pacificus","Sorex pacificus",2873,6109,6.7,5.46666666666667,-1.23333333333333,8.2,0.150406504065041
"Scotoecus albofuscus|Scotoecus hirundo","Scotoecus",5698,5697,6.9,10.2742286478462,3.37422864784619,22.4,0.150635207493134
"Hyperacrius fertilis|Hyperacrius wynnei","Hyperacrius",3984,3974,37.45,35.2792785432282,-2.17072145677176,14.4,0.15074454560915
"Hesperoptenus blanfordi|Hesperoptenus tickelli","Hesperoptenus",5832,5830,11.55,9.075,-2.475,16.4,0.150914634146341
"Laephotis botswanae|Laephotis wintoni","Laephotis",5831,5830,6.6,9.075,2.475,16.4,0.150914634146342
"Carollia subrufa|Carollia brevicauda|Carollia perspicillata|Carollia castanea","Carollia",5932,5931,15.55,12.9043936731107,-2.64560632688928,17.4,0.152046340625821
"Akodon serrensis","Akodon serrensis",321,3537,28.3,29.35,1.05,6.9,0.152173913043478
"Akodon mollis","Akodon mollis",316,3537,30.4,29.35,-1.05,6.9,0.152173913043478
"Myotis levis","Myotis levis",2702,5742,5.5,7.46556475022746,1.96556475022746,12.9,0.152369360482749
"Akodon varius","Akodon varius",336,3524,40,39.68,-0.319999999999993,2.1,0.152380952380949
"Phyllotis osgoodi","Phyllotis osgoodi",363,3465,45.1,43.8,-1.3,8.5,0.152941176470588
"Phyllotis bonaeriensis","Phyllotis bonaeriensis",356,3465,42.5,43.8,1.3,8.5,0.152941176470589
"Saccopteryx leptura","Saccopteryx leptura",2267,5514,4.9,6.5,1.6,10.4,0.153846153846154
"Saccopteryx bilineata","Saccopteryx bilineata",2266,5514,8.1,6.5,-1.6,10.4,0.153846153846154
"Notiomys edwardsii","Notiomys edwardsii",427,3442,21.3,24.1588410104012,2.85884101040119,18.5,0.154531946508172
"Tarsius dianae","Tarsius dianae",1499,4744,107,105.5,-1.5,9.7,0.154639175257732
"Tarsius syrichta","Tarsius syrichta",1501,4744,104,105.5,1.5,9.7,0.154639175257732
"Crocidura turba","Crocidura turba",2821,6078,14.5,12.55,-1.95,12.6,0.154761904761905
"Crocidura beatus","Crocidura beatus",2774,6078,10.6,12.55,1.95,12.6,0.154761904761905
"Oryzomys nitidus","Oryzomys nitidus",474,3399,55.2,56.5333333333333,1.33333333333334,8.6,0.155038759689923
"Hipposideros halophyllus","Hipposideros halophyllus",2347,5614,4,7.71111111111111,3.71111111111111,23.9,0.155276615527662
"Peromyscus gratus","Peromyscus gratus",577,3631,27.4,25.5,-1.9,12.2,0.155737704918032
"Peromyscus eremicus","Peromyscus eremicus",572,3631,23.6,25.5,1.9,12.2,0.155737704918033
"Heliosciurus mutabilis|Heliosciurus undulatus|Heliosciurus rufobrachium|Heliosciurus ruwenzorii|Heliosciurus punctatus|Heliosciurus gambianus","Heliosciurus",4412,4411,311.466666666667,313.697067447038,2.23040078037161,14.3,0.155972082543469
"Molossus bondae","Molossus bondae",2526,5643,17.8,24.75,6.95,44.5,0.156179775280899
"Molossus ater","Molossus ater",2528,5643,31.7,24.75,-6.95,44.5,0.156179775280899
"Kerivoula pellucida","Kerivoula pellucida",2693,5854,4.1,5.38181818181818,1.28181818181818,8.2,0.156319290465632
"Geoxus valdivianus","Geoxus valdivianus",407,3478,31.5,34.3950815145241,2.89508151452411,18.5,0.156490892676979
"Microtus oregoni|Microtus californicus|Microtus canicaudus|Microtus montanus|Microtus pennsylvanicus|Microtus townsendii","Microtus",3995,3994,40.5956760166942,40.9907002708553,0.395024254161129,2.5,0.158009701664452
"Crocidura elgonius","Crocidura elgonius",2782,6067,6.5,4.5,-2,12.6,0.158730158730159
"Crocidura planiceps","Crocidura planiceps",2811,6067,2.5,4.5,2,12.6,0.158730158730159
"Felovia vae","Felovia vae",903,4144,205,201.242449610406,-3.75755038959369,23.6,0.15921823684719
"Gerbillurus setzeri","Gerbillurus setzeri",729,3314,38.3,36.8,-1.5,9.4,0.159574468085106
"Gerbillurus vallinus","Gerbillurus vallinus",731,3314,35.3,36.8,1.5,9.4,0.159574468085106
"Oligoryzomys destructor","Oligoryzomys destructor",445,3493,25.2,26.1,0.899999999999995,5.6,0.160714285714285
"Oligoryzomys longicaudatus","Oligoryzomys longicaudatus",450,3493,27,26.1,-0.900000000000006,5.6,0.160714285714287
"Microdipodops pallidus","Microdipodops pallidus",853,4098,12.5,11.5,-0.999999999999998,6.2,0.161290322580645
"Microdipodops megacephalus","Microdipodops megacephalus",852,4098,10.5,11.5,1,6.2,0.161290322580645
"Phaulomys smithii|Clethrionomys rutilus|Clethrionomys rufocanus|Clethrionomys gapperi|Clethrionomys glareolus|Clethrionomys californicus|Alticola stoliczkanus|Alticola roylei|Alticola argentatus|Alticola strelzowi","Failed taxon resolution",3975,3974,33.8918845536626,35.2792785432282,1.38739398956563,8.6,0.161324882507631
"Natalus stramineus|Natalus tumidirostris","Natalus",5987,5986,5.6,4.77539267015707,-0.824607329842931,5.1,0.161687711733908
"Rhinolophus virgo","Rhinolophus virgo",2330,5573,6,6.55,0.549999999999999,3.4,0.161764705882353
"Rhinolophus swinnyi","Rhinolophus swinnyi",2327,5573,7.1,6.55,-0.550000000000001,3.4,0.161764705882353
"Triaenops persicus","Triaenops persicus",2338,5580,12.6,10.7,-1.9,11.7,0.162393162393162
"Rhinonicteris aurantia","Rhinonicteris aurantia",2337,5580,8.8,10.7,1.9,11.7,0.162393162393162
"Peropteryx kappleri","Peropteryx kappleri",2271,5512,9.4,7.4,-2,12.3,0.16260162601626
"Peropteryx macrotis","Peropteryx macrotis",2272,5512,5.4,7.4,2,12.3,0.16260162601626
"Rheomys raptor","Rheomys raptor",534,3573,38,39.3333333333333,1.33333333333334,8.2,0.16260162601626
"Anoura cultrata","Anoura cultrata",2438,5923,16.9,15.4333333333333,-1.46666666666667,9,0.162962962962963
"Pseudomys fieldi","Pseudomys fieldi",137,3714,45,41.3333333333333,-3.66666666666666,22.4,0.163690476190476
"Sorex monticolus|Sorex vagrans|Sorex pacificus","Sorex",6109,6107,5.46666666666667,4.30428979980934,-1.16237686685732,7.1,0.163715051670046
"Mops niveiventer","Mops niveiventer",2549,5660,21.7,25.05,3.35,20.4,0.16421568627451
"Mops condylurus","Mops condylurus",2546,5660,28.4,25.05,-3.35,20.4,0.16421568627451
"Andinomys edax","Andinomys edax",370,3448,69.7,66.6603399433428,-3.03966005665723,18.5,0.164305949008499
"Phyllotis gerbillus","Phyllotis gerbillus",360,3469,17.4,18.8,1.4,8.5,0.164705882352941
"Phyllotis amicus","Phyllotis amicus",354,3469,20.2,18.8,-1.4,8.5,0.164705882352941
"Mus musculoides","Mus musculoides",204,3826,6,7.33333333333333,1.33333333333333,8,0.166666666666667
"Craseonycteris thonglongyai|Rhinopoma muscatellum|Rhinopoma microphyllum|Rhinopoma hardwickei","Microchiroptera",5516,5515,12.3470899470899,20.3985375719788,8.05144762488889,48.3,0.166696638196457
"Molossus molossus","Molossus molossus",2527,5642,13.6,21.0333333333333,7.43333333333333,44.5,0.167041198501873
"Plecotus austriacus|Plecotus auritus","Plecotus",5826,5823,7.55,8.16831694420119,0.618316944201189,3.7,0.167112687621943
"Taphozous australis","Taphozous australis",2243,5488,22.9,25.5333333333333,2.63333333333334,15.7,0.167728237791932
"Myotis adversus","Myotis adversus",2713,5749,10.6,9.2,-1.4,8.3,0.168674698795181
"Myotis horsfieldii","Myotis horsfieldii",2716,5750,6,7.4,1.4,8.3,0.168674698795181
"Myotis bocagei","Myotis bocagei",2714,5749,7.8,9.2,1.4,8.3,0.168674698795181
"Myotis hasseltii","Myotis hasseltii",2715,5750,8.8,7.4,-1.4,8.3,0.168674698795181
"Pipistrellus tenuis|Pipistrellus mimus|Pipistrellus coromandra|Pipistrellus babu|Pipistrellus javanicus","Pipistrellus",5839,5837,4.58163265306122,5.51497910639666,0.933346453335433,5.5,0.169699355151897
"Nectogale elegans","Nectogale elegans",2893,6137,32.5,38.0698113207547,5.56981132075472,32.8,0.169811320754717
"Mystacina tuberculata","Mystacina tuberculata",2381,5864,12.6,22.4418598056866,9.84185980568665,57.7,0.170569494032698
"Sorex arizonae","Sorex arizonae",2875,6118,2.4,4.03333333333333,1.63333333333333,9.5,0.171929824561404
"Choeroniscus intermedius","Choeroniscus intermedius",2445,5929,5.8,6.85,1.05,6.1,0.172131147540984
"Choeroniscus godmani","Choeroniscus godmani",2444,5929,7.9,6.85,-1.05,6.1,0.172131147540984
