"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Trachypithecus geei","Trachypithecus geei",1395,4645,8350,8350,0,3.9,0
"Ateles chamek","Ateles chamek",1425,4675,6000,6000,0,3.2,0
"Ateles marginatus","Ateles marginatus",1426,4675,6000,6000,0,3.2,0
"Aotus lemurinus","Aotus lemurinus",1458,4705,873,873,0,21,0
"Aotus vociferans","Aotus vociferans",1463,4705,873,873,0,21,0
"Callithrix aurita","Callithrix aurita",1468,4725,342,342,0,1.4,0
"Callithrix flaviceps","Callithrix flaviceps",1469,4725,342,342,0,1.4,0
"Callithrix geoffroyi","Callithrix geoffroyi",1470,4727,342,342,0,1.2,0
"Callithrix kuhlii","Callithrix kuhlii",1471,4727,342,342,0,1.2,0
"Connochaetes gnou","Connochaetes gnou",1571,4853,179999,179999,0,3.9,0
"Connochaetes taurinus","Connochaetes taurinus",1572,4853,179999,179999,0,3.9,0
"Eubalaena australis","Eubalaena australis",1799,5048,2.3e+07,2.3e+07,0,2.7,0
"Eubalaena glacialis","Eubalaena glacialis",1800,5048,2.3e+07,2.3e+07,0,2.7,0
"Balaenoptera borealis","Balaenoptera borealis",1803,5052,2e+07,2e+07,0,9.6,0
"Balaenoptera edeni","Balaenoptera edeni",1804,5052,2e+07,2e+07,0,9.6,0
"Bdeogale jacksoni","Bdeogale jacksoni",2043,5302,2500,2500,0,7.8,0
"Bdeogale nigripes","Bdeogale nigripes",2044,5302,2500,2500,0,7.8,0
"Mungotictis decemlineata","Mungotictis decemlineata",2066,5308,650,650,0,16.1,0
"Salanoia concolor","Salanoia concolor",2067,5308,650,650,0,16.1,0
"Paradoxurus jerdoni","Paradoxurus jerdoni",2085,5335,2780.8,2780.8,0,5.7,0
"Paradoxurus zeylonensis","Paradoxurus zeylonensis",2086,5335,2780.8,2780.8,0,5.7,0
"Chalinolobus morio","Chalinolobus morio",2611,5758,8.8,8.8,0,13.8,0
"Chalinolobus nigrogriseus","Chalinolobus nigrogriseus",2612,5758,8.8,8.8,0,13.8,0
"Kerivoula hardwickei","Kerivoula hardwickei",2688,5862,4.5,4.5,0,8.2,0
"Kerivoula picta","Kerivoula picta",2695,5862,4.5,4.5,0,8.2,0
"Crocidura montis","Crocidura montis",2804,6066,14.5,14.5,0,12.6,0
"Crocidura zimmeri","Crocidura zimmeri",2828,6066,14.5,14.5,0,12.6,0
"Surdisorex norae","Surdisorex norae",2845,6090,9,9,0,6.1,0
"Surdisorex polulus","Surdisorex polulus",2846,6090,9,9,0,6.1,0
"Caenolestes caniventer","Caenolestes caniventer",3172,6413,40,40,0,18.9,0
"Caenolestes convelatus","Caenolestes convelatus",3173,6413,40,40,0,18.9,0
"Anoura geoffroyi","Anoura geoffroyi",2439,5924,14.7,14.7,-1.77635683940025e-15,9,1.97372982155583e-16
